LABEL,mean,median,std
Hippocampus,0.12287315226488352,0.11837602667302136,0.020320146634362272
Amygdala,0.08621084224094644,0.09144450512199523,0.01579865891487393
Thalamus,0.044472447196512034,0.042955705009843415,0.006982013684795975
WhiteMatter,0.021986534021314584,0.021322029646411222,0.003653414960820902
GreyMatter,0.00836916417003245,0.008337179191845234,0.005026705702532363
