experiment_id,experiment_name,metric,mean,std,n_observations,confidence_level,ci_lower,ci_upper,margin_of_error
0,exp_00_baseline_none,dice,0.625732031267223,0.14778590836031613,100,0.95,0.5964081008109582,0.6550559617234878,0.029323930456264802
0,exp_00_baseline_none,hausdorff,12.077619785639502,3.1384066461012012,100,0.95,11.45489181884735,12.700347752431654,0.6227279667921515
1,exp_01_normalization_only,dice,0.5833380036067783,0.17195188128617556,100,0.95,0.5492190198375946,0.6174569873759621,0.034118983769183764
1,exp_01_normalization_only,hausdorff,12.416642130786927,2.40936686347163,100,0.95,11.938571473496555,12.8947127880773,0.4780706572903721
2,exp_02_skullstrip_only,dice,0.6258692722922397,0.1558458098966874,100,0.95,0.594946082510379,0.6567924620741004,0.030923189781860705
2,exp_02_skullstrip_only,hausdorff,8.300142097720054,4.654490734509164,100,0.95,7.376590156114736,9.223694039325371,0.923551941605318
3,exp_03_registration_only,dice,0.6546083100266152,0.12273786437670532,100,0.95,0.630254454917792,0.6789621651354385,0.024353855108823264
3,exp_03_registration_only,hausdorff,12.226949760742166,2.832299195996707,100,0.95,11.664960153098058,12.788939368386274,0.561989607644108
4,exp_04_norm_skull,dice,0.5509223655499823,0.16456120834048826,100,0.95,0.5182698516349874,0.5835748794649772,0.03265251391499491
4,exp_04_norm_skull,hausdorff,10.289289670054854,3.677740589566353,100,0.95,9.559546147947945,11.019033192161764,0.7297435221069097
5,exp_05_norm_reg,dice,0.618933904128497,0.15526687598656044,100,0.95,0.5881255873944641,0.64974222086253,0.030808316734032948
5,exp_05_norm_reg,hausdorff,11.758615335214522,2.0088102409886606,100,0.95,11.360023801961127,12.157206868467917,0.3985915332533949
6,exp_06_reg_skull,dice,0.6567036289775152,0.12725260044961462,100,0.95,0.6314539522839465,0.6819533056710839,0.0252496766935687
6,exp_06_reg_skull,hausdorff,7.925936946444641,4.327446294910797,100,0.95,7.067277716934097,8.784596175955185,0.8586592295105442
7,exp_07_all_preprocessing,dice,0.6195036634738227,0.13301124249080332,100,0.95,0.5931113472646743,0.6458959796829711,0.026392316209148392
7,exp_07_all_preprocessing,hausdorff,7.640146615894386,3.9399738100495436,100,0.95,6.858370333654331,8.421922898134442,0.781776282240056
8,exp_08_all_preprocessing_postprocessing,dice,0.6109771476828292,0.14032678372656537,100,0.95,0.5831332693807348,0.6388210259849235,0.027843878302094338
8,exp_08_all_preprocessing_postprocessing,hausdorff,7.803917642862449,3.608193457071941,100,0.95,7.087973780677963,8.519861505046935,0.7159438621844858
9,exp_09_baseline_none_with_post,dice,0.6126460846540916,0.15240717924966685,100,0.95,0.5824051937942105,0.6428869755139728,0.03024089085988113
9,exp_09_baseline_none_with_post,hausdorff,12.0016676711925,3.272161907013453,100,0.95,11.352399758794792,12.650935583590208,0.6492679123977076
10,exp_10_normalization_only_with_post,dice,0.5661402011024316,0.18014857855397273,100,0.95,0.530394814766733,0.6018855874381301,0.03574538633569857
10,exp_10_normalization_only_with_post,hausdorff,12.233962847676061,2.5505303551630023,100,0.95,11.727882291070872,12.74004340428125,0.5060805566051894
11,exp_11_skullstrip_only_with_post,dice,0.6184087852574587,0.1599492612484214,100,0.95,0.5866713817024178,0.6501461888124995,0.031737403555040844
11,exp_11_skullstrip_only_with_post,hausdorff,8.092196597384607,4.548987480778531,100,0.95,7.189578790228453,8.994814404540762,0.9026178071561546
12,exp_12_registration_only_with_post,dice,0.6456581952162059,0.12650867598694895,100,0.95,0.6205561292755836,0.6707602611568283,0.025102065940622365
12,exp_12_registration_only_with_post,hausdorff,11.806545508727654,3.2043977278618394,100,0.95,11.170723479627716,12.442367537827591,0.6358220290999377
13,exp_13_norm_skull_with_post,dice,0.5346928101928344,0.17276830250719435,100,0.95,0.5004118307410189,0.56897378964465,0.03428097945181552
13,exp_13_norm_skull_with_post,hausdorff,10.48302752919634,3.6301395223362904,100,0.95,9.76272909154021,11.20332596685247,0.7202984376561297
14,exp_14_norm_reg_with_post,dice,0.6126088118959345,0.15790601246825092,100,0.95,0.58127683322747,0.643940790564399,0.03133197866846449
14,exp_14_norm_reg_with_post,hausdorff,11.093796151989658,2.308895170242943,100,0.95,10.6356612583844,11.551931045594914,0.4581348936052567
15,exp_15_reg_skull_with_post,dice,0.6459902742538068,0.13267835505232825,100,0.95,0.6196640101344951,0.6723165383731186,0.026326264119311715
15,exp_15_reg_skull_with_post,hausdorff,7.827865540671662,4.066930080535538,100,0.95,7.020898380031744,8.63483270131158,0.8069671606399185
16,exp_16_all_preprocessing_with_post,dice,0.6079975368064289,0.1430648444395568,100,0.95,0.5796103678562368,0.636384705756621,0.02838716895019211
16,exp_16_all_preprocessing_with_post,hausdorff,7.811929904957991,3.7408138206047226,100,0.95,7.0696712854298065,8.554188524486177,0.7422586195281857
17,exp_17_all_preprocessing_postprocessing_with_post,dice,0.6048911651132575,0.14401194754870733,100,0.95,0.5763160703586651,0.6334662598678499,0.02857509475459241
17,exp_17_all_preprocessing_postprocessing_with_post,hausdorff,7.936223154274885,3.7854535569558747,100,0.95,7.185107042588816,8.687339265960954,0.751116111686069
